TIME	TIMECORR	CADENCENO	SAP_FLUX	SAP_FLUX_ERR	SAP_BKG	SAP_BKG_ERR	PDCSAP_FLUX	PDCSAP_FLUX_ERR	QUALITY	PSF_CENTR1	PSF_CENTR1_ERR	PSF_CENTR2	PSF_CENTR2_ERR	MOM_CENTR1	MOM_CENTR1_ERR	MOM_CENTR2	MOM_CENTR2_ERR	POS_CORR1	POS_CORR2
2447.7998810836775	0.0004715402	878648	6028.1797	10.213098	1613.0264	3.5782824	6850.5986	11.905649	0					2073.7057712624655	0.0014322492	1621.866309354718	0.0011251804	-0.04441047	0.021834608
2447.801270111588	0.00047167987	878649	6031.64	10.209613	1606.4957	3.5692744	6852.137	11.9015875	0					2073.6940692977823	0.0014306554	1621.8594106087721	0.0011240139	-0.06185857	0.009776521
2447.802659139528	0.00047181957	878650	6050.129	10.229976	1609.7935	3.5725954	6873.639	11.925324	0					2073.7015851781193	0.001433589	1621.8609063579695	0.0011217104	-0.0515448	0.014187104
2447.8040481674384	0.00047195924	878651	6013.681	10.205956	1610.4631	3.5771308	6845.176	11.897324	0					2073.703990878531	0.0014378006	1621.8684303263426	0.0011260045	-0.044897884	0.023611058
2447.80543719535	0.0004720989	878652	6048.2134	10.219802	1604.9994	3.576035	6875.392	11.9134655	0					2073.6977460703283	0.0014278794	1621.8630366003472	0.0011222563	-0.054295514	0.016840443
2447.80682622326	0.00047223858	878653	6033.53	10.219262	1612.3413	3.5795488	6852.1313	11.912834	0					2073.7025145594325	0.0014340468	1621.8588247921266	0.0011243251	-0.05103556	0.013348785
2447.8082152511706	0.00047237825	878654	6029.6567	10.212473	1607.1902	3.5771132	6857.573	11.904922	0					2073.7003444722523	0.0014348283	1621.8656015249	0.0011243763	-0.05249668	0.020785164
2447.809604279081	0.00047251792	878655	6036.4395	10.218745	1605.2482	3.5719097	6863.516	11.912233	0					2073.7041487954334	0.0014315346	1621.8635228072503	0.0011253455	-0.044828113	0.020181807
2447.8109933069622	0.00047265756	878656	6042.199	10.222728	1614.2235	3.5747683	6863.3623	11.916875	0					2073.7031650339413	0.0014314762	1621.8602138250565	0.0011228491	-0.051984616	0.013065881
2447.812382334873	0.00047279723	878657	6031.5254	10.214642	1609.6868	3.5743628	6850.935	11.907449	0					2073.6988472709636	0.0014336072	1621.86179256088	0.0011242187	-0.054945275	0.013498269
2447.8137713627543	0.00047293687	878658	6016.249	10.209857	1609.7794	3.5767868	6841.3687	11.901871	0					2073.703899445752	0.0014388283	1621.8657357866152	0.0011271243	-0.046437085	0.021470703
2447.815160390665	0.00047307654	878659	6031.3564	10.215235	1611.2683	3.57489	6848.3325	11.90814	0					2073.698073603706	0.0014315719	1621.860533579991	0.0011253904	-0.055433437	0.012747219
2447.8165494185473	0.00047321618	878660	6050.041	10.226253	1606.578	3.5725641	6865.9404	11.920984	0					2073.6978905215005	0.0014286318	1621.8572249808713	0.0011218027	-0.05556287	0.009512011
2447.817938446429	0.00047335582	878661	6027.205	10.219548	1611.8812	3.5812862	6861.554	11.913169	0					2073.705367696177	0.0014341248	1621.8672234635849	0.0011269097	-0.043474223	0.024505168
2447.8193274743103	0.00047349546	878662	6030.621	10.21114	1608.6284	3.571552	6860.558	11.903366	0					2073.6985172538193	0.0014316192	1621.8664706933891	0.0011242895	-0.051022965	0.019113665
2447.8207165021627	0.00047363507	878663	6028.041	10.208364	1604.2343	3.5728834	6858.84	11.90013	0					2073.703914252855	0.0014322057	1621.8702162282173	0.0011238831	-0.04227729	0.025957976
2447.822105530044	0.0004737747	878664	6032.3125	10.213271	1605.6713	3.5712745	6854.1772	11.905852	0					2073.6978725701306	0.0014315074	1621.8577913938357	0.001124825	-0.05837996	0.00961758
2447.8234945579266	0.00047391435	878665	6035.2188	10.21234	1609.9952	3.573039	6852.558	11.904767	0					2073.702382994688	0.0014323604	1621.8641080164878	0.0011235108	-0.05116045	0.016468236
2447.824883585778	0.00047405396	878666	6032.973	10.215884	1609.1223	3.5806592	6851.43	11.908898	0					2073.69787336146	0.0014314587	1621.86506649091	0.0011240691	-0.05704734	0.017209293
2447.8262726136295	0.00047419357	878667	6027.0005	10.215408	1613.2024	3.5796926	6844.374	11.908343	0					2073.7029633783586	0.001434987	1621.8611526105406	0.0011251303	-0.04799957	0.014906568
2447.827661641482	0.00047433318	878668	6034.371	10.215561	1612.9958	3.5749056	6858.624	11.908521	0					2073.705747473001	0.0014319674	1621.8688625801735	0.0011235042	-0.044495523	0.025091039
2447.829050669335	0.0004744728	878669	6045.617	10.226947	1611.358	3.5768414	6873.0166	11.921795	0					2073.6898436807296	0.0014300332	1621.8582383300075	0.0011242424	-0.06269805	0.011002831
2447.830439697187	0.0004746124	878670	6032.815	10.211415	1606.8137	3.574024	6855.9424	11.903688	0					2073.702542278069	0.0014321685	1621.8620587198159	0.0011232941	-0.05170881	0.0154463705
2447.831828725039	0.000474752	878671	6013.222	10.199586	1606.2006	3.569961	6838.975	11.889899	0					2073.70267763794	0.0014355889	1621.871467446296	0.0011254959	-0.044080246	0.026915176
2447.8332177528923	0.00047489163	878672	6030.839	10.209095	1605.7166	3.571638	6853.3486	11.900984	0					2073.6931237104577	0.0014322905	1621.858305685057	0.0011235438	-0.060197514	0.011479658
2447.834606780716	0.0004750312	878673	6054.8184	10.223971	1604.3954	3.5746198	6873.1753	11.918325	0					2073.6995199969456	0.0014289222	1621.8646318733665	0.0011203183	-0.051041022	0.017504325
2447.835995808569	0.00047517082	878674	6036.1104	10.21118	1603.4672	3.572111	6859.621	11.903414	0					2073.703684368027	0.0014316533	1621.8662003775717	0.0011225885	-0.04616816	0.020657856
2447.837384836392	0.0004753104	878675	6037.2837	10.219502	1610.1099	3.5735414	6859.452	11.913115	0					2073.6943424984192	0.0014311356	1621.85557063075	0.0011245275	-0.061434437	0.008240882
2447.8387738642155	0.00047544998	878676	6012.1973	10.203076	1611.4437	3.573923	6837.5566	11.893968	0					2073.7050670981985	0.0014362937	1621.874494867574	0.0011248416	-0.041566133	0.032074846
2447.8401628920383	0.00047558956	878677	6045.6943	10.209783	1598.0334	3.5676153	6867.367	11.901785	0					2073.7013163270617	0.0014297762	1621.8614798705373	0.0011206461	-0.05125814	0.013043178
2447.841551919861	0.00047572915	878678	6042.194	10.212189	1607.5345	3.5679297	6864.1777	11.90459	0					2073.702802048853	0.0014292827	1621.8657349292728	0.0011226371	-0.04836838	0.019799778
2447.8429409476553	0.0004758687	878679	6025.364	10.213324	1612.8237	3.5741982	6840.7515	11.905913	0					2073.6949247941097	0.0014317449	1621.8624510552338	0.0011260224	-0.059186067	0.013700318
2447.8443299754786	0.00047600828	878680	6040.864	10.209639	1601.1434	3.5655413	6860.242	11.901616	0					2073.6996116480436	0.0014290864	1621.8626464032636	0.0011213821	-0.051916573	0.015665678
2447.845719003302	0.00047614786	878681	6033.852	10.214984	1603.6317	3.57133	6857.7285	11.907848	0					2073.6979870327045	0.0014345021	1621.8663232675544	0.0011238739	-0.05281669	0.022317277
2447.847108031097	0.00047628742	878682	6023.883	10.212864	1607.1128	3.5729952	6844.237	11.905377	0					2073.698954624785	0.0014345414	1621.8598551749203	0.0011259123	-0.05528993	0.012451349
2447.848497058891	0.00047642697	878683	6034.574	10.211377	1605.436	3.5704427	6853.868	11.903645	0					2073.70044080707	0.0014312093	1621.8586939112813	0.0011237175	-0.055878844	0.011236937
2447.8498860866853	0.00047656652	878684	6037.325	10.218743	1609.9989	3.5747638	6859.3374	11.9122305	0					2073.702722581412	0.0014311211	1621.8675346690807	0.0011227727	-0.04860718	0.023095667
2447.8512751144794	0.00047670607	878685	6043.145	10.219542	1606.6459	3.574635	6860.6743	11.913161	0					2073.6949666444025	0.0014302547	1621.855659454302	0.0011229	-0.059728283	0.005047036
2447.8526641422736	0.00047684563	878686	6024.8525	10.210607	1609.8154	3.5757813	6846.523	11.902745	0					2073.706034100764	0.0014327448	1621.867844464742	0.0011239655	-0.044293936	0.025954742
2447.8540531700687	0.00047698518	878687	6055.6187	10.226009	1604.6855	3.5773666	6875.356	11.920702	0					2073.6965039729603	0.001426923	1621.8602507399846	0.0011207103	-0.059053443	0.013644155
2447.855442197833	0.0004771247	878688	6030.6	10.207164	1604.7577	3.569218	6851.206	11.898733	0					2073.699535417375	0.0014316753	1621.8625180611355	0.0011227194	-0.054914977	0.015637465
2447.856831225597	0.00047726423	878689	6026.4595	10.20499	1603.0516	3.5716045	6843.479	11.896199	0					2073.7000297871027	0.0014317881	1621.8663595447738	0.0011236877	-0.05448939	0.019488512
2447.858220253391	0.00047740378	878690	6052.4297	10.226779	1607.9352	3.5696898	6880.0684	11.921598	0					2073.6967657456617	0.0014296528	1621.8612428700242	0.001122279	-0.05100538	0.0151752625
2447.859609281157	0.0004775433	878691	6013.6323	10.201023	1605.7367	3.572331	6837.826	11.891574	0					2073.70146896677	0.001436035	1621.8693441268183	0.0011259995	-0.047004174	0.024783382
2447.8609983089223	0.00047768283	878692	6071.1606	10.221121	1593.4854	3.5603545	6896.7065	11.915002	0					2073.6988970711095	0.0014253348	1621.859315906441	0.0011177832	-0.054527868	0.011355232
2447.8623873366873	0.00047782235	878693	6047.8804	10.21956	1602.5002	3.569368	6872.7285	11.913182	0					2073.696545919309	0.0014282067	1621.8665893642876	0.0011228927	-0.054830514	0.02153145
2447.8637763644233	0.00047796185	878694	6023.3896	10.207187	1601.0348	3.5708528	6843.243	11.89876	0					2073.6986677160858	0.0014344895	1621.8616170720813	0.0011260487	-0.053856485	0.014293935
2447.8651653921893	0.00047810137	878695	6041.9214	10.215419	1609.0859	3.5718575	6861.8706	11.908356	0					2073.6952401922563	0.00142783	1621.86062624718	0.0011226557	-0.056759443	0.011713448
2447.8665544199544	0.0004782409	878696	6044.9653	10.211173	1601.4521	3.568129	6865.105	11.903406	0					2073.703190185283	0.0014300939	1621.867757138203	0.0011206855	-0.047994975	0.021346213
2447.8679434476903	0.0004783804	878697	6019.543	10.204735	1607.6943	3.571627	6849.414	11.895901	0					2073.703677178365	0.0014331435	1621.8684690771513	0.0011258435	-0.048192736	0.025062729
2447.8693324754263	0.00047851988	878698	6038.611	10.212836	1600.7754	3.5662744	6857.577	11.905344	0					2073.6988923370704	0.001428309	1621.8590183933964	0.001122392	-0.0557031	0.011857458
2447.870721503162	0.00047865938	878699	6030.501	10.211597	1607.4094	3.5757992	6848.145	11.903901	0					2073.7026928031532	0.0014335811	1621.8631841486304	0.0011233757	-0.04792045	0.018322514
2447.8721105308973	0.00047879887	878700	6038.15	10.211589	1603.746	3.5716047	6863.725	11.90389	0					2073.7000745085693	0.0014295263	1621.8641449761426	0.0011231775	-0.050568085	0.017217271
2447.8734995586333	0.00047893837	878701	6033.211	10.2078905	1604.8303	3.5692897	6849.638	11.899579	0					2073.6968527513995	0.0014319188	1621.862586761659	0.0011233176	-0.05648114	0.01533467
2447.87488858634	0.00047907783	878702	6053.152	10.22069	1602.8169	3.5708258	6873.279	11.9145	0					2073.6962037344215	0.001427799	1621.8620639780818	0.0011201041	-0.060329072	0.01594777
2447.876277614076	0.00047921733	878703	6024.792	10.207183	1608.7501	3.5740983	6848.7793	11.898755	0					2073.7042171233234	0.0014326114	1621.8617953863913	0.0011246887	-0.046776336	0.016125614
